dataset_ID,format_priority,format_flag,data_formatted,obtain_priority,dataset_name,data_source,system,climate,taxa,organism,location,CentralLatitude,CentralLongitude,LatLong_sites,Raw_datafile_name,Raw_start_year,Raw_end_year,Raw_nRecs,Raw_nTime,Raw_nSpecies,Raw_siteUnit,spatial_scale_variable,Raw_nSites,Notes_siteFormat,Notes_spFormat,Raw_spatial_grain,Raw_spatial_grain_unit,Raw_Mean_Individuals_perSiteYear,Raw_Min_Individuals_perSiteYear,Raw_Max_Individuals_perSiteYear,countFormat,Notes_countFormat,Formatted_nRecs,Formatted_start_year,Formatted_end_year,Formatted_nSites,Formatted_nSpecies,Formatted_Mean_Individuals_perSiteYear,Formatted_Min_Individuals_perSiteYear,Formatted_Max_Individuals_perSiteYear,Formatted_spatial_grain,Formatted_spatial_grain_unit,Notes_timeFormat,subannualTgrain,PropOcc_notes,General_notes,Citation1,Citation2,Citation3,Citation4,Citation5,Citation6
128,NA,5,N,NA,,http://www.usgs.gov/obis-usa/search/?datasetid=MOC10GB#,Marine,Temperate,Plankton,Zooplankton,,41.375,-67.418999,N,,,,8618,5,305,Ocean_sitenumber,N,219,"sites are listed as USA_Atlantic_sitenumber.  Site numbers go by intervals of 0.5, so site units were separated and site numbers were rounded down to whole numbers.  Sites were then pasted back together and added back to dataset","Several genus-only entries with multiple associated species entries were eliminated, and many single species entries under a genus entry were consolidated.",,,18.85591398,2,98,count,Data represents count. There were no NAs nor 0s that required removal,8618,,,219,305,18.85591398,2,98,,,temporal data provided as years. only modification to this field involved converting to a numeric object.,N,,spatial extent is in square kilometers,"L. Madin, E. Horgan, ""Zooplankton Sampled with 10m2MOCNESS Net in Georges Bank 1995-1999."" Woods Hole Oceanographic Institution, USA: U.S. GLOBEC Data Management Office (2006). (Available at http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012).",NA,NA,NA,NA,NA
129,NA,5,N,NA,,http://www.usgs.gov/obis-usa/search/?datasetid=STOCS_MAFLA_Benthic#,Marine,Tropical/Temperate,Benthos,Invertebrate,,27.97635,-89.790798,Y,,,,48892,5,2573,USA_GulfOfMexico_sitenumber_lat_long,N,488,"all sites are listed as USA_GulfOfMexico_sitenumber_lat_longs. Using read.table and then paste, extracted just the USA_GulfOfMexico_sitenumber out and used that info for site determintation.  Lat_longs no longer included.",only change made to species was to upper case.  No bad species removed,,,1731.620321,1,28676,count,Data represents abundance counts. There were no NAs nor 0s that required removal,48892,,,488,2573,1731.620321,1,28676,,,temporal data provided as years. The only modification to this field involved converting to a numeric object.,N,,spatial extent is in square kilometers,"""South TX Outer Continental Shelf and MI, AL, and FL Outer Continental Shelf Benthos organism sampling 1974-1978"". US National Oceanographic Data Center, Silver Spring, Maryland, USA (2011). (Available at http://www.usgs.gov/obis-usa/data_search_and_access/participants.html, accessed 2012).",NA,NA,NA,NA,NA
133,NA,0,Y,NA,,http://www.vliz.be/en/imis?module=dataset&dasid=3700,Marine,Tropical/Temperate,Plankton,Copepods,,-14.875,-40.935801,,,,,1453,8,119,,,38,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"F. L. Silveira, R. M. Lopes, ""On the Marine Free-Living Copepods off Brazil -WSAOBIS"". Western South Atlantic OBIS, S?o Paulo (2008). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
135,0,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=%5BGCMD%5DPrevious_fisheries_REVIZEE_Program,Marine,Tropical/Temperate,Fish,Mostly fish and a few Invertebrate,,-15.437249,-42.09455,,,,,7353,15,281,,,1551,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""Previous_fisheries_REVIZEE_Program"", accessed through Tropical and Subtropical Western South Pacific OBIS. (Available at http://www.iobis.org, accessed 2012 ).",NA,NA,NA,NA,NA
143,NA,0,Y,NA,,http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&KeywordPath=%5BParameters%3A+Topic%3D%27BIOLOGICAL+CLASSIFICATION%27%2C+Term%3D%27ANIMALS%2FINVERTEBRATES%27%2C+Variable_Level_1%3D%27ARTHROPODS%27%2C+Variable_Level_2%3D%27CRUSTACEANS%27%2C+Variable_Level_3%3D%27COPEPODS%27%5D&OrigMetadataNode=GCMD&EntryId=COPAS_I_copepod&MetadataView=Full&MetadataType=0&lbnode=mdlb1,Marine,Tropical/Temperate,Plankton,Copepods,,-28.257999,-71.922649,,,,,410,8,106,,,4,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"P. Hidalgo et al., Patterns of copepod diversity in the Chilean coastal upwelling system. Deep Sea Research Part II: Topical Studies in Oceanography 57, 2089 (2010).","R. Escribano, K. Manr?quez, F. Godoy, ""Copepoda-COPAS Center (COPAS_CPD1) - Planktonic copepods from the Chilean Humboldt Current System - Eastern South Pacific Regional Node of OBIS (ESPOBIS)"" (2006). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA
147,NA,5,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]OBIS_NZMBIS,Marine,Temperate,Benthos,Bryozoa,,-9.6165009,0.0680008,Y,,,,6291,51,599,lat_long,Y,555,"site field looks like ""Pacific_sitenumber_lat_long"", only the lat/longs were extracted. New site field looks like ""lat_long""","several species removed because the genus-only entry had many possible species underneath. One species was combined with the corresponding genus-only entry because it was the only possible listed species under the genus. One typo (an insertion of a ""?"") was also fixed.",,,NA,NA,NA,count,Data represents count. There were no NAs nor 0s that required removal,6291,,,555,599,NA,NA,NA,,,temporal data provided as years. The only modification to this field involved converting to a numeric object.,Y,,spatial extent is in square kilometers,"""South Western Pacific Regional OBIS Data Bryozoan Subset"", accessed through South Western Pacific OBIS. (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
148,0,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]OBIS_NZMBIS,Marine,Tropical/Temperate,Fish,Fish,,-27.071849,0,,,,,25020,40,278,,,5179,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata In formation System"", NIWA (National Institute of Water and Atmospheric Research - New Zealand) MBIS (Marine Biodata Information System) accessed through South Western Pacific OBIS. (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
150,NA,0,Y,NA,,http://ecologicaldata.org/wiki/admirality-bay-benthos,Marine,Tropical/Temperate,Benthos,Benthos,,-0.0109653,-58.471785,,,,,402,5,44,,,81,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"J. Sicinski, M. Blazewicz-Paszkowycz, ""Admiralty Bay Benthos Diversity Data Base (ABBED). Cumacea"" (2008). (Available at site http://www.scarmarbin.be, accessed 2012).","J. Sicinski, R. Bamber, ""Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida"" (2008). (Available at http://www.scarmarbin.be, accessed 2012).","J. Sicinski, M. Blazewicz-Paszkowycz, ""Admiralty Bay Benthos Diversity Data Base (ABBED). Tanaidacea"" (2008). (Available at http://www.scarmarbin.be, accessed 2012)..","B. Danis, A. Van de Putte, N. Youdjou, H. Segers (Editors), The Antarctic Biodiversity Information Facility. (Available at http://www.biodiversity.aq, accessed 2013).",NA,NA
152,NA,0,Y,NA,,http://ecologicaldata.org/wiki/census-marine-zooplankton,Marine,Temperate,Plankton,Zooplankton,,44.200001,0,,,,,764,15,164,,,41,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""CMarZ (Census of Marine Zooplankton)-Asia Database"". Accessed through OBIS- SCAR-MarBIN. (Available at http://www.scarmarbin.be, accessed 2012).",NA,NA,NA,NA,NA
162,1,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]epa_emap,Marine,Tropical/Temperate,Benthos,Benthos,,39.436501,-113.877,,,,,172767,13,5832,,,6588,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""EPA'S EMAP Database"". U.S. Environmental Protection Agency through its Environmental Monitoring and Assessment Program (EMAP). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
163,1,0,N,NA,,http://seamap.env.duke.edu/dataset/103150067,Marine,Temperate,Benthos,Mainly benthos,,30.860001,0,,,,,318466,12,357,,,1827,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""The Observer Program database"", accessed through the OBIS-USA North Pacific Groundfish Observer (North Pacific Research Board). (Available at http://www.iobis.org, accessed 2012). ",NA,NA,NA,NA,NA
164,NA,0,Y,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]SERC_MIRL_NASMIS,Marine,Temperate,Benthos,Sessile Invertebrate,,43.276317,-106.99213,,,,,1401,6,100,,,229,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"G. M. Ruiz, P. W. Fofonoff, B. Steves, T. Huber, K. Larson, L. McCann, N. G. Hitchcock, A. H. Hines, J. T. Carlton, ""North American Sessile Marine Invertebrate Survey"" (2005). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
166,0,0,N,NA,,http://seamap.env.duke.edu/datasets/detail/280,Marine,Global,Bird,Pelagic seabirds,,27.316651,-65.499998,,,,,153814,25,215,,,51670,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"P. N. Halpin, A. J. Read, E. Fujioka, B. D. Best, B. Donnelly, L. J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L. B. Crowder, K. D. Hyrenbach, OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22, 2(2009).","R. G. B. Brown, D.N. Nettleship, P. Germain, C.E. Tull, T. Davis, Atlas of eastern Canadian seabirds. Canadian Wildlife Service, Ottawa. (1975)","A. W. Diamond, A. J. Gaston, R. G. B. Brown, Converting PIROP counts of seabirds at sea to absolute densities. Progress Notes. No. 164. 21 pp. (1986).","F. Huettmann, An ecological GIS research application for the northern Atlantic - The PIROP database software, environmental data sets and the role of the internet/WWW. W.-F. Riekert and K. Tochtermann (Eds.) Hypermedia im Umweltschutz Proceedings of Deutsche Gesellschaft f?r Informatik (GI) and Forschungsinstitut f?r anwendungsorientierte Wissensverarbeitung (FAW) Ulm. Umwelt-Informatik aktuell; Bd.17, Metropolis Verlag. 213-217 (1998).","""PIROP Northwest Atlantic 1965-1992 - OBIS SEAMAP"". (Available at http://www.iobis.org, accessed 2012).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). "
169,0,0,N,NA,,http://seamap.env.duke.edu/dataset/507,Marine,Temperate,Bird,Mostly seabirds and some marine mammals,,34.931726,-121.85437,,,,,61714,20,185,,,27979,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"P. Yen, W. Sydeman, S. Bograd, K. Hyrenbach, Spring-time distributions of migratory marine birds in the southern California Current: Oceanic eddy associations and coastal habitat hotspots over 17 years. Deep Sea Research Part II: Topical Studies in Oceanography 53, 399 (2006).","J. Jahncke, C. Rintoul, ""CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006"". California Cooperative Oceanic Fisheries Investigations (CalCOFI) and National Marine Fisheries Service (NMFS) cruises, 1987-2006 - OBIS SEAMAP (2006). (Available at http://www.iobis.org, accessed 2012).","C. Rintoul, B. Schlagenhauf-Langabeer, K. D. Hyrenbach, K. H. Morgan, W. J. Sydeman, Atlas of California Current Marine Birds and Mammals: Version 1. Unpublished report, PRBO Conservation Science, Petaluma, California (2006).","P. P. Yen, W. J. Sydeman, K. D. Hyrenbach, Marine bird and cetacean associations with bathymetric habitats and shallow-water topographies: implications for trophic transfer and conservation. Journal of Marine Systems 50, 79 (2004).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA
171,NA,0,Y,NA,,http://seamap.env.duke.edu/dataset/329,Marine,Tropical/Temperate,Mammal,Marine mammals and a few turtles,,24.571583,-75.936535,,,,,2087,17,28,,,2035,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""Bahamas Marine Mammal Research Organisation Opportunistic Sightings - OBIS SEAMAP"". (Available at http://www.iobis.org, accessed 2012).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA,NA,NA,NA
172,0,0,N,NA,,http://www.vliz.be/en/imis?module=dataset&dasid=2821,Marine,Temperate,All,"Cetaceans, seabirds and turtles",,35.309266,-24.079175,,,,,51197,12,47,,,34883,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"M. Machete, R. S. Santos, Azores Fisheries Observer Program (POPA): A case study of the multidisciplinary use of observer data.  Proceedings of the 5th International Fisheries Observer Conference, Victoria, Canada. T. A. McVea, S. J. Kennelly (Ed) 114-116 (2007).","T. Morato, D. A. Varkey, C. Damaso, M. Machete, M. Santos, R. Prieto, R. S. Santos, T. J. Pitcher, Evidence of a seamount effect on aggregating visitors. Marine Ecology Progress Series, 357: 23-32 (2008).","P. Amorim, M. Figueiredo, M. Machete, T. Morato, A. Martins, R. S. Santos, Spatial variability of seabird distribution associated with environmental factors: a case study of marine Important Bird Areas in the Azores. ICES Journal of Marine Science, 66: 29-40 (2009).","""POPA cetacean, seabird, and sea turtle sightings in the Azores area 1998-2009 - OBIS SEAMAP"". (Available at http://www.iobis.org, accessed 2012).","A. J. Read, P. N. Halpin, L. B. Crowder, B. D. Best, E. Fujioka (Editors) ""OBIS-SEAMAP: mapping marine mammals, birds and turtles"" (2011). (Available at http://seamap.env.duke.edu, accessed 2012). ",NA
173,NA,3,Y,NA,,http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&KeywordPath=%5BPersonnel%3A+Last_Name%3D%27DATA+MANAGEMENT+OFFICE%27%5D&OrigMetadataNode=GCMD&EntryId=JAMSTEC_MARINE_BIOLOGICAL_SAMPLE_DATABASE&MetadataView=Full&MetadataType=0&lbnode=mdlb2,Marine,Tropical/Temperate,Invertebrate,Invertebrate,,5.0028992,124.3343,N,,,,4086,16,678,site_sitenumber,N,758,"no changes were made to raw data. sites are listed by name, and some have different number IDs.","no changes made to species column.  Wide variety of taxonomic resolution, but there are no unidentified or bad species in data.",,,11.77114428,1,296,count,"Data represents count, originally labeled as abundance. There were no NAs nor 0s that required removal",4086,,,758,678,11.77114428,1,296,,,temporal data provided as years. The only modification to this field involved converting to a numeric object.,N,,spatial extent is in square kilometers,"""Marine Biological Sample Database, JAMSTEC"" (OBIS_JAPAN). (Available at http://www.godac.jamstec.go.jp/bio-sample/index_e.html, accessed 2012).",NA,NA,NA,NA,NA
176,1,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]OBIS.AZMP-Maritimes,Marine,Temperate,Plankton,Phytoplankton and zooplankton,,44.555,-60.424999,,,,,40956,13,320,,,1763,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"M. K. Kennedy, J. A. Spry, ""Atlantic Zone Monitoring Program Maritimes Region plankton datasets"". In: Fisheries and Oceans Canada - BioChem archive. OBIS Canada, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2011). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
178,1,0,N,NA,,http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=caobis&MetadataType=0&KeywordPath=&MetadataView=Full&EntryId=OBIS.PACSHRIMP,Marine,Temperate,Fish,Mostly fish and some Invertebrate,,53.125599,-141.4296,,,,,128307,39,476,,,8065,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"J. A. Boutillier, ""Pacific Shrimp Trawl Survey"". In: ShrimpTrawl Bio database, Fisheries and Oceans Canada PBS Shellfish Data Unit. OBIS Canada Digital Collections, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2007). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
180,1,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]obis.groundfish_atlas,Marine,Polar/Temperate,Fish,Groundfish,,37.434999,-46.375,,,,,410743,26,273,,,46466,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""East Coast North America Strategic Assessment Project, Groundfish Atlas for the East Coast of North America"". (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
182,0,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]OBIS.DFO_Gulf_SnowCrabSurveys,Marine,Temperate,All,"Chromista, fish and Invertebrate",,47.389734,-62.87117,,,,,35005,22,33,,,5777,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"E. J. Wade, ""Snow crab research trawl survey database (Southern Gulf of St. Lawrence, Gulf region, Canada) from 1988 to 2010"". OBIS Canada, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2011). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
183,1,0,N,NA,,http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&MetadataType=0&MetadataView=Full&KeywordPath=&EntryId=[GCMD]obis.dfogfsdbinv,Marine,Temperate,Invertebrate,Invertebrate,,43.662792,-63.244329,,,,,14906,13,16,,,4475,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"J. M. Tremblay, B. Branton, ""DFO Maritimes Research Vessel Trawl Surveys Invertebrate"". OBIS Canada Digital Collections, Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (2007). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
184,1,0,N,NA,,http://ipt.iobis.org/obiscanada/resource.do?r=obis_dfo_cna_multispeciessurveys,Marine,Polar/Temperate,Invertebrate,Invertebrate and some fish,,67.408991,-67.826576,,,,,16976,5,306,,,685,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"T. Siferd, ""Central and Arctic Multi-Species Stock Assessment Surveys. OBIS Canada Digital Collections (2010)"". Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada (OBIS Canada). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
187,0,0,N,NA,,https://data.noaa.gov/harvest/object/a845b522-6ef6-4ccc-93af-1c13b49a3782/html/original,Marine,Tropical/Temperate,Benthos,Benthos,,36.02781,-123.53286,,,,,111347,14,4439,,,2180,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""National Benthos Infaunal Database (NBID)"", NOAA/NOS/NCCOS/CCEHBR/Coastal Ecology Program. NOAA's Ocean Service, National Centers for Coastal Ocean Science (NCCOS) (2003). (Available at https://data.noaa.gov/dataset/national-Benthos-infaunal-database-nbid, accessed 2012).",NA,NA,NA,NA,NA
189,0,0,N,NA,,https://data.noaa.gov/harvest/object/4ca7c21b-c6d9-459e-92c7-2b78dc52b68b/html/original,Marine,Tropical,Fish,Fish,,18.308015,-64.746758,,,,,28113,10,254,,,1510,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""St. John, USVI Fish Assessment and Monitoring Data (2002 - Present)"", Silver Spring, MD Publisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team (2007).  (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
190,0,0,N,NA,,https://data.noaa.gov/harvest/object/9176625f-2fd0-4d50-999e-5f5c77c1de38/html/original,Marine,Tropical,Fish,Fish,,17.755365,-64.592091,,,,,27882,10,247,,,2000,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""St. Croix, USVI Fish Assessment and Monitoring Data (2002 - Present)"", Silver Spring, MDPublisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team (2007).  (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
191,NA,2,N,NA,,http://idn.ceos.org/KeywordSearch/Metadata.do?Portal=idn_water&KeywordPath=%5BSensor_Name%3A+Short_Name%3D%27GRAB+SAMPLERS%27%5D&OrigMetadataNode=NOAA-NMMR&EntryId=WHOI_Benthic_Fauna&MetadataView=Full&MetadataType=0&lbnode=mdlb2,Marine,Temperate,Benthos,Benthos,,36.667,-65.533501,Y,,,,74085,30,1791,lat_long,Y,1924,"the site entries looked like ""USA_NA_0.1_m^2___40.1_-72.667"", only the lat/longs at the end were extracted","no bad species, no changes made besides upper casing",,,1826.840859,1,185920,count,Data represents count. There were no NAs nor 0s that required removal,73615,,,1924,1791,1826.840859,1,185920,,,temporal data provided as years. The only modification to this field involved converting to a numeric object.,N,,spatial extent is in square kilometers,"""NEFSC Benthos Database (OBIS-USA)"", Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce (2010). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
192,NA,4,N,2,,http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=amd_au&MetadataView=Full&MetadataType=0&KeywordPath=&OrigMetadataNode=AADC&EntryId=IWC_Whale_catch,Marine,Polar/Temperate,Mammal,Whales,,-62.5,80,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""Whale Catches in Southern Ocean"", OBIS - Australian Antarctic Data Centre. (Available at http://www.iobis.org, accessed 2013).",NA,NA,NA,NA,NA
196,0,0,N,NA,,,Marine,Temperate,Benthos,Benthos and Invertebrate,Scotland,60.47139,-1.35133,,,,,91491,35,252,,,910,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,,"J. J. Moore, C. M. Howson, ﾋﾨﾫﾋﾨﾫ_Survey of the rocky shores in the region of Sullom Voe, Shetland, A report to SOTEAG from Aquatic Survey & Monitoring Ltdﾋﾨﾫﾋﾨﾫ_, Cosheston, Pembrokeshire. 29 pp.(Available at http://www.soteag.org.uk, accessed 2013).",,,,,
197,0,0,N,NA,,http://geo.ices.dk/geonetwork/srv/en/main.home?uuid=a38fb537-0ec4-40bb-a3de-750b5dd3829a,Marine,Temperate,Fish,Fish,,56.75225,-6.9619,,,,,279726,28,152,,,278169,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""Scottish West Coast Survey For Commercial Fish Species 1985-2013"". (Available at https://datras.ices.dk, accessed 2013).",NA,NA,NA,NA,NA
198,0,0,N,NA,,http://geo.ices.dk/geonetwork/srv/en/main.home?uuid=0c3e6329-b521-49e8-94a0-506e2087d551,Marine,Temperate,Fish,Fish,,56.349,17.045,,,,,750984,23,143,,,705879,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""ICES Baltic International Trawl Survey For Commercial Fish Species (1991 - 2013)"". (Available at https://datras.ices.dk, accessed 2013).",NA,NA,NA,NA,NA
200,1,0,Y,NA,,http://idn.ceos.org/KeywordSearch/Metadata.do?Portal=idn_water&KeywordPath=%5BSensor_Name%3A+Short_Name%3D%27GRAB+SAMPLERS%27%5D&OrigMetadataNode=NOAA-NMMR&EntryId=WHOI_Benthic_Fauna&MetadataView=Full&MetadataType=0&lbnode=mdlb2,Marine,Temperate,Benthos,Benthos,,36.667,-65.533501,,,,,43801,28,1617,,,117,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,spatial extent is in square kilometers,"""NEFSC Benthos Database (OBIS-USA)"", Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce (2010). (Available at http://www.iobis.org, accessed 2012).",NA,NA,NA,NA,NA
201,NA,4,N,1,Long Term Monitoring of Kelp Forest ,,Marine,Temperate,Fish,Fish,"Channel Islands, CA",NA,NA,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,Sites also include other sites along Pacific Coast (e.g. Pt. Lobos),PISCO,,,,,
202,NA,4,N,1,Long Term Monitoring of Kelp Forest Fish: larvae,,Marine,Temperate,Fish,Fish,"Channel Islands, CA",NA,NA,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,,Casel+Z70:Z112le et al. 2010 Bulletin of Marine Sciences,,,,,
203,NA,4,N,2,California Cooperative Fisheries Institute (CALCOFI) ,,Marine,Temperate,Plankton,Plankton,,NA,NA,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,"Dataset goes back to the 1950s, demonstrates strong ENSO effect",,,,,,
204,NA,4,N,1,NC Dept of Marine Fisheries Fish Seine Survey (Red drum?),,Marine,Temperate,Fish,Fish,Coastal NC,NA,NA,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,6 regions of NC coast,,,,,,
205,NA,4,N,1,Beaufort Bridge Net larval Fish sampling,,Marine,Temperate,Fish,Fish,,NA,NA,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,poster at ECU showed flattish temporal occupancy distribution,,contact: Todd Ellison,,,,
206,NA,4,N,2,Gotelli Long-term Fish dataset,,Aquatic,Temperate,Fish,Fish,,NA,NA,,,,,NA,NA,NA,,,NA,,,,,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,,,,,,"Fish data is from Grossman et al 1982, insects from KBS LTER",Gotelli et al 2010.pdf,,,,,
