"","FocalAOU","ALPHA.CODE","Trophic.Group","Foraging","migclass","Family","CommonName","rank","Type","value","EW"
"231",7490,"RCKI","insectivore","foliage glean","short","Regulidae","Ruby-crowned Kinglet","16","SHARED",-0.01500159720516,0
"232",7490,"RCKI","insectivore","foliage glean","short","Regulidae","Ruby-crowned Kinglet","16","NONE",0.694405939109499,0
"233",7540,"TOSO","insectivore","hawks","short","Turdidae","Townsend's Solitaire","30","ENV",0.119282443158103,0
"234",7540,"TOSO","insectivore","hawks","short","Turdidae","Townsend's Solitaire","30","COMP",0.126140265902392,0
"235",7540,"TOSO","insectivore","hawks","short","Turdidae","Townsend's Solitaire","30","SHARED",-0.0115090350809078,0
"236",7540,"TOSO","insectivore","hawks","short","Turdidae","Townsend's Solitaire","30","NONE",0.766086326020412,0
"237",7580,"SWTH","insectivore","foliage glean","neotrop","Turdidae","Swainson's Thrush","3","ENV",0.400073190098775,0
"238",7580,"SWTH","insectivore","foliage glean","neotrop","Turdidae","Swainson's Thrush","3","COMP",0.0154077360210501,0
"239",7580,"SWTH","insectivore","foliage glean","neotrop","Turdidae","Swainson's Thrush","3","SHARED",0.0196106694585276,0
"240",7580,"SWTH","insectivore","foliage glean","neotrop","Turdidae","Swainson's Thrush","3","NONE",0.564908404421647,0
"241",7590,"HETH","insectivore","ground glean","short","Turdidae","Hermit Thrush","31","ENV",0.118108975726906,0
"242",7590,"HETH","insectivore","ground glean","short","Turdidae","Hermit Thrush","31","COMP",0.0203691800393541,0
"243",7590,"HETH","insectivore","ground glean","short","Turdidae","Hermit Thrush","31","SHARED",-0.0109034014647716,0
"244",7590,"HETH","insectivore","ground glean","short","Turdidae","Hermit Thrush","31","NONE",0.872425245698512,0
"245",7670,"WEBL","insectivore","hawks","short","Turdidae","Western Bluebird","5","ENV",0.354666510881639,0
"246",7670,"WEBL","insectivore","hawks","short","Turdidae","Western Bluebird","5","COMP",0.0649590082282732,0
"247",7670,"WEBL","insectivore","hawks","short","Turdidae","Western Bluebird","5","SHARED",-0.0438824263965823,0
"248",7670,"WEBL","insectivore","hawks","short","Turdidae","Western Bluebird","5","NONE",0.62425690728667,0
"249",7680,"MOBL","insectivore","swoops","short","Turdidae","Mountain Bluebird","46","ENV",0.0760515753183963,0
"250",7680,"MOBL","insectivore","swoops","short","Turdidae","Mountain Bluebird","46","COMP",0.0176058923663124,0
"251",7680,"MOBL","insectivore","swoops","short","Turdidae","Mountain Bluebird","46","SHARED",0.00941204230760191,0
"252",7680,"MOBL","insectivore","swoops","short","Turdidae","Mountain Bluebird","46","NONE",0.896930490007689,0
